Title,Year,TMDb ID,TMDb Rating,Overview,IMDb ID,IMDb Rating,Runtime (min),Genre
The Advent Calendar,2021,762079,6.655,"Eva, an ex-dancer, is now living in a wheelchair, unable to walk. When her friend Sophie gives her an old wooden antique advent calendar before Christmas, she realizes each window contains a surprise that triggers repercussions in real life: some of them good, but most of them bad... Now Eva will have to choose between getting rid of the calendar or walking again… even if it causes death around her.",tt12496706,6.3,104.0,"Horror, Thriller"
Mírame,2021,863851,6.8,"Lalo is a teenager tormented by the recent death of his dad, and being forced to move to an old house with his grandmother Elena. After taking his dad's old wristwatch, the ghost of a young girl begins to haunt him. Now, Lalo's life is in danger as he tries to unfold the mysterious ghost who keeps frightening him, hoping to stop her from dragging him for good.",tt12978936,6.3,96.0,"Horror, Mystery"
PG: Psycho Goreman,2020,670428,6.0,"Siblings Mimi and Luke unwittingly resurrect an ancient alien overlord. Using a magical amulet, they force the monster to obey their childish whims, and accidentally attract a rogues’ gallery of intergalactic assassins to small-town suburbia.",tt11252440,6.3,95.0,"Comedy, Horror, Sci-Fi"
Death Whisperer 2,2024,1247019,6.968,"Three years after his sister's death, Yak relentlessly searches for the dark spirit that killed her in hopes of seeking revenge.",tt31513578,6.3,110.0,"Action, Horror, Thriller"
MaXXXine,2024,1023922,6.4,"In 1980s Hollywood, adult film star and aspiring actress Maxine Minx finally gets her big break. But as a mysterious killer stalks the starlets of Hollywood, a trail of blood threatens to reveal her sinister past.",tt22048412,6.2,103.0,"Crime, Horror"
Soft & Quiet,2022,934131,6.444,"Taking place in real time, elementary school teacher Emily organizes a mixer of like-minded women, but an altercation between a woman from Emily’s past and the group leads to a volatile chain of events.",tt14557188,6.2,92.0,"Drama, Horror, Thriller"
What Josiah Saw,2021,696605,5.986,A family with buried secrets reunite at a farmhouse after two decades to pay for their past sins.,tt3097396,6.2,120.0,"Horror, Thriller"
Lowlifes,2024,1272890,6.382,The survival instincts of a road-tripping family are put to the test when they have no other choice but to stay the night at a remote homestead.,tt31499750,6.2,90.0,Horror
The Cursed,2021,630392,6.6,"In the late 19th century, a brutal land baron slaughters a Roma clan, unleashing a curse on his family and village. In the days that follow, the townspeople are plagued by nightmares, the baron's son goes missing, and a boy is found murdered. The locals suspect a wild animal, but a visiting pathologist warns of a more sinister presence lurking in the woods.",tt9907782,6.2,111.0,"Fantasy, Horror, Mystery"
The Piano Lesson,2024,804406,6.1,A brother and sister's battle over a prized heirloom piano unleashes haunting truths about how the past is perceived — and who defines a family legacy.,tt15507512,6.2,127.0,"Drama, Music"
Fear Street: 1994,2021,591273,6.7,"After a series of brutal slayings, a teen and her friends take on an evil force that's plagued their notorious town for centuries.",tt6566576,6.2,107.0,"Drama, Horror, Mystery"
Malignant,2021,619778,6.768,"Madison is paralyzed by shocking visions of grisly murders, and her torment worsens as she discovers that these waking dreams are in fact terrifying realities with a mysterious tie to her past.",tt3811906,6.2,111.0,"Crime, Horror, Mystery"
Bodies Bodies Bodies,2022,520023,6.192,"In an isolated family mansion, a group of rich 20-somethings decides to play Bodies Bodies Bodies, a game where one of them is secretly a ""killer"" while the rest tries to ""escape"". Things take a turn for the worse when real bodies start turning up, setting off a paranoid and dangerous chain of events.",tt8110652,6.2,94.0,"Comedy, Horror, Mystery"
Influencer,2023,1020910,6.155,"While struggling on a solo backpacking trip in Thailand, social media influencer Madison meets CW, who travels with ease and shows her a more uninhibited way of living. But CW's interest in her takes a darker turn.",tt13309170,6.2,92.0,"Horror, Mystery, Thriller"
Hatching,2022,517302,6.264,"12 year old Tinja is desperate to please her mother, a woman obsessed with presenting the image of a perfect family. One night, Tinja finds a strange egg. What hatches is beyond belief.",tt12519030,6.2,91.0,"Drama, Fantasy, Horror"
Infested,2023,1063879,6.631,"Residents of a rundown French apartment building battle against an army of deadly, rapidly reproducing spiders.",tt26744289,6.2,106.0,Horror
The Wolf of Snow Hollow,2020,652004,6.052,"Terror grips a small mountain town as bodies are discovered after each full moon. Losing sleep, raising a teenage daughter, and caring for his ailing father, officer Marshall struggles to remind himself there's no such thing as werewolves.",tt11140488,6.2,85.0,"Comedy, Horror, Mystery"
Thanksgiving,2023,1071215,6.532,"After a Black Friday riot ends in tragedy, a mysterious Thanksgiving-inspired killer terrorizes Plymouth, Massachusetts - the birthplace of the holiday. Picking off residents one by one, what begins as random revenge killings are soon revealed to be part of a larger, sinister holiday plan.",tt1448754,6.2,106.0,"Comedy, Horror, Mystery"
Birth/Rebirth,2023,1058638,6.514,A single mother and a childless morgue technician are bound together by their relationship to a little girl they have reanimated from the dead.,tt9048804,6.2,101.0,"Drama, Horror, Thriller"
Lux Æterna,2020,599377,6.128,"Two actresses, Béatrice Dalle and Charlotte Gainsbourg, are on a film set telling stories about witches.",tt10272534,6.2,51.0,"Drama, Thriller"
The Empty Man,2020,516632,6.2,"Retired cop James Lasombra is asked by a friend to investigate the disappearance of her daughter, who seemingly packed in the night and left an ominous message on the bathroom mirror - ""The Empty Man Made Me Do It."" As he investigates this mysterious figure further, James begins to see and hear strange things, and is forced to come to terms with his past and what it means for his future.",tt5867314,6.2,137.0,"Drama, Horror, Mystery"
Hell House LLC Origins: The Carmichael Manor,2023,1035982,6.477,"A group of cold case investigators stay at the Carmichael Manor, site of the grisly and unsolved murders of the Carmichael family back in the eighties. After four nights, the group was never heard from again. What is discovered on their footage is even more disturbing than anything found on the Hell House tapes.",tt22796890,6.2,98.0,"Horror, Mystery"
Synchronic,2020,549294,6.316,"Two New Orleans paramedics' lives are ripped apart after encountering a series of horrific deaths linked to a designer drug with bizarre, otherworldly effects.",tt9016974,6.2,102.0,"Drama, Horror, Mystery"
Alone,2020,509635,6.376,"A recently widowed traveler is kidnapped by a cold blooded killer, only to escape into the wilderness where she is forced to battle against the elements as her pursuer closes in on her.",tt7711170,6.2,98.0,"Drama, Mystery, Thriller"
Black Box,2020,716258,6.395,"After losing his wife and his memory in a car accident, a single father undergoes an experimental treatment that causes him to question who he really is.",tt12298506,6.2,100.0,"Horror, Mystery, Sci-Fi"
Incantation,2022,864370,6.805,Inspired by the true story of a family who believed they were possessed by spirits. This film follows a woman who must protect her child from a curse.,tt18968540,6.2,110.0,"Horror, Mystery"
Good Boy,2020,710717,6.5,"When Maggie gets an emotional support dog to help quell some of her anxiety, she finds him to be even more effective than she imagined... because unbeknownst to her, he kills anyone who adds stress to her life.",tt11828640,6.2,88.0,"Drama, Fantasy, Horror"
Terrifier 2,2022,663712,6.711,"A year after the Miles County massacre, Art the Clown is resurrected by a sinister entity. Art returns home, where he must hunt down and destroy teenage Sienna and her younger brother Jonathan on Halloween. As the body count rises, the siblings fight to stay alive while uncovering the true nature of Art's evil intent.",tt10403420,6.1,138.0,Horror
No Exit,2022,833425,6.889,"Stranded at a rest stop in the mountains during a blizzard, a recovering addict discovers a kidnapped child hidden in a car belonging to one of the people inside the building which sets her on a terrifying struggle to identify who among them is the kidnapper.",tt7550014,6.1,95.0,"Drama, Horror, Mystery"
Day Shift,2022,755566,6.78,An LA vampire hunter has a week to come up with the cash to pay for his kid's tuition and braces. Trying to make a living these days just might kill him.,tt13314558,6.1,113.0,"Action, Comedy, Fantasy"
Color Out of Space,2020,548473,6.0,"The Gardner family moves to a remote farmstead in rural New England to escape the hustle of the 21st century. They are busy adapting to their new life when a meteorite crashes into their front yard, melts into the earth, and infects both the land and the properties of space-time with a strange, otherworldly colour. To their horror, the family discovers this alien force is gradually mutating every life form that it touches—including them.",tt5073642,6.1,111.0,"Horror, Mystery, Sci-Fi"
Piggy,2022,848058,6.586,A bullied overweight teenager sees a glimpse of hope when her tormentors are brutally abducted by a mesmerizing stranger.,tt10399608,6.1,99.0,"Drama, Horror, Thriller"
We Have a Ghost,2023,852096,6.5,"After Kevin finds a ghost named Ernest haunting his new home, he becomes an overnight social media sensation. But when Kevin and Ernest go rogue to investigate the mystery of the latter's past, they become targets of the CIA.",tt7798604,6.1,126.0,"Adventure, Comedy, Family"
Lisa Frankenstein,2024,993784,6.318,"In 1989, a misunderstood teenager has a high school crush — who just happens to be a handsome corpse! After a set of playfully horrific circumstances bring him back to life, the two embark on a murderous journey to find love, happiness…and a few missing body parts along the way.",tt21188080,6.1,101.0,"Comedy, Horror, Romance"
DC Showcase: The Phantom Stranger,2020,618352,6.797,"Jess joins her friends at a party in a dilapidated mansion hosted by the mysterious Seth. When odd things begin to happen to Jess and her friends, the Phantom Stranger intervenes to save her from a dreary fate.",tt11802028,6.1,15.0,"Animation, Short, Fantasy"
Don't Listen,2020,726208,6.504,"After a tragic turn of events at the new home he's fixing up, Daniel hears a ghostly plea for help, spurring him to seek out a famous paranormal expert.",tt11750282,6.1,97.0,"Adventure, Drama, Horror"
Apocalypse Z: The Beginning of the End,2024,1118031,6.719,"When a kind of rabies that transforms people into aggressive creatures spreads across the planet, Manel isolates himself at home with his cat, relying on his wits to survive; but soon they must go out in search of food, by land and by sea, dodging many dangers.",tt27599851,6.1,117.0,"Action, Horror, Sci-Fi"
Blood Machines,2020,536517,6.296,An artificial intelligence escapes her spaceship to turn into a female ghost and challenges two blade runners to a galactic chase.,tt6197070,6.1,50.0,"Adventure, Music, Sci-Fi"
Knock at the Cabin,2023,631842,6.3,"While vacationing at a remote cabin, a young girl and her two fathers are taken hostage by four armed strangers who demand that the family make an unthinkable choice to avert the apocalypse. With limited access to the outside world, the family must decide what they believe before all is lost.",tt15679400,6.1,100.0,"Horror, Mystery, Thriller"
The Wrath of Becky,2023,986070,6.319,"Two years after she escaped a violent attack on her family, 16-year-old Becky attempts to rebuild her life in the care of an older woman -- a kindred spirit named Elena. However, when a violent group known as the Noble Men break into their home, attack them and take their beloved dog, Becky must return to her old ways to protect herself and her loved ones.",tt20916568,6.1,84.0,"Action, Thriller"
The Dark and the Wicked,2020,680593,6.218,"On a secluded farm in a nondescript rural town, a man is slowly dying. His family gathers to mourn, and soon a darkness grows, marked by waking nightmares and a growing sense that something evil is taking over the family.",tt10229558,6.1,95.0,Horror
The Chalk Line,2022,960875,6.411,"After a couple finds a traumatized child of unknown origins, wife Paula must decipher the girl's strange behaviors to unlock her identity and dark past.",tt12683756,6.1,106.0,"Horror, Mystery, Thriller"
The Beta Test,2021,749645,6.131,"An engaged Hollywood agent receives a mysterious letter for an anonymous sexual encounter and becomes ensnared in a sinister world of lying, infidelity, and digital data.",tt11738830,6.1,93.0,"Comedy, Drama, Mystery"
The Pope's Exorcist,2023,758323,6.957,"Father Gabriele Amorth, Chief Exorcist of the Vatican, investigates a young boy's terrifying possession and ends up uncovering a centuries-old conspiracy the Vatican has desperately tried to keep hidden.",tt13375076,6.1,103.0,"Horror, Thriller"
Blood Red Sky,2021,760883,6.851,"A woman with a mysterious illness is forced into action when a group of terrorists attempt to hijack a transatlantic overnight flight. In order to protect her son she will have to reveal a dark secret, and unleash the inner monster she has fought to hide.",tt6402468,6.1,121.0,"Action, Drama, Horror"
The Last Voyage of the Demeter,2023,635910,6.768,The crew of the merchant ship Demeter attempts to survive the ocean voyage from Carpathia to London as they are stalked each night by a merciless presence onboard the ship.,tt1001520,6.1,118.0,"Fantasy, Horror, Thriller"
Sissy,2022,934207,6.178,"Cecilia is a successful social media influencer living the dream, until she runs into her ex-childhood best friend and is invited away on her bachelorette weekend. Suddenly, Sissy finds herself stuck in a remote cabin with her school bully... and a taste for revenge.",tt9602472,6.1,102.0,"Comedy, Drama, Horror"
Little Bone Lodge,2023,1075335,6.7,"During a stormy night in the Scottish Highlands, two criminal brothers on the run seek refuge in a desolate farmhouse. But after taking the resident family captive, they find the house holds even darker secrets of its own.",tt19858164,6.0,93.0,"Crime, Horror, Mystery"
Flowing,2022,848483,6.2,"In the past few days Rome has been the scene of a singular event: when it rains, the manholes exhale a dense steam whose origin and composition is unknown. No one can imagine that whoever breathes in the mysterious substance will have to deal with what he/she represses, their darkest instincts, their anger. Not even the Morel family.",tt11999966,6.0,95.0,"Horror, Thriller"
Werewolves Within,2021,800497,6.024,"When a proposed pipeline creates hostilities between residents of a small town, a newly-arrived forest ranger must keep the peace after a snowstorm confines the townspeople to an old lodge. But when a mysterious creature begins terrorizing the group, their worst tendencies and prejudices rise to the surface, and it is up to the ranger to keep the residents alive, both from each other and the monster which plagues them.",tt9288692,6.0,97.0,"Comedy, Horror, Mystery"
The Soul Eater,2024,1084863,6.111,"When the disappearance of children and bloody murders multiply in a small mountain village, an old legend shrouded in sulphur reappears... Commander Guardiano and Captain of the Gendarmerie De Rolan are forced to join forces to uncover the truth.",tt28821588,6.0,108.0,"Crime, Horror, Mystery"
Mr. Harrigan's Phone,2022,723419,6.411,"Craig, a young boy living in a small town befriends an older, reclusive billionaire, Mr. Harrigan. The two form a bond over books and an iPhone, but when the man passes away the boy discovers that not everything dead is gone.",tt12908110,6.0,104.0,"Drama, Horror, Mystery"
Sick,2022,829410,6.2,"While quarantining at her family's lake house during the pandemic, Parker and her best friend are threatened by an unexpected visitor.",tt14642626,6.0,83.0,"Horror, Mystery, Thriller"
Huesera: The Bone Woman,2023,772515,5.8,"Valeria's joy at becoming a first-time mother is quickly taken away when she's cursed by a sinister entity. As danger closes in, she's forced deeper into a chilling world of dark magic that threatens to consume her.",tt11718516,6.0,97.0,"Drama, Horror"
The Blackening,2023,1008392,6.024,"Seven black friends go away for the weekend, only to find themselves trapped in a cabin with a killer who has a vendetta. They must pit their street smarts and knowledge of horror movies against the murderer to stay alive.",tt11703244,6.0,97.0,"Comedy, Horror, Mystery"
Infinity Pool,2023,667216,6.065,"While staying at an isolated island resort, James and Em are enjoying a perfect vacation of pristine beaches, exceptional staff, and soaking up the sun. But guided by the seductive and mysterious Gabi, they venture outside the resort grounds and find themselves in a culture filled with violence, hedonism, and untold horror. A tragic accident leaves them facing a zero tolerance policy for crime: either you'll be executed, or, if you’re rich enough to afford it, you can watch yourself die instead.",tt10365998,6.0,117.0,"Crime, Horror, Mystery"
Men,2022,780609,6.101,"In the aftermath of a personal tragedy, Harper retreats alone to the beautiful English countryside, hoping to find a place to heal. But someone — or something — from the surrounding woods appears to be stalking her, and what begins as simmering dread becomes a fully-formed nightmare, inhabited by her darkest memories and fears.",tt13841850,6.0,100.0,"Drama, Fantasy, Horror"
Moloch,2022,959558,5.943,"Betriek lives at the edge of a peat bog in the North of the Netherlands. When she and her family are attacked by a random stranger one night, Betriek sets out to find an explanation. The more she digs, the more she becomes convinced that she is being hunted by something ancient.",tt14412446,6.0,99.0,"Horror, Mystery"
M,2023,829361,7.5,"Deep in a secluded forest, Marko lives in isolation under the watchful eye of his overprotective father, who is determined to keep his young son safe from the Evil Ones. Deeply lonely, and increasingly curious about the outside world, Marko yearns to uncover the secrets of life beyond the forest and begins venturing further from home. But after a cruel turn of events grants his wish sooner than he ever imagined, Marko is forced to flee and embark on a grim journey filled with unknown dangers and a glimpse into a world forever changed.",tt11076026,6.0,99.0,"Adventure, Drama, Sci-Fi"
Haunted Mansion,2023,616747,6.479,A woman and her son enlist a motley crew of so-called spiritual experts to help rid their home of supernatural squatters.,tt1695843,6.0,123.0,"Comedy, Drama, Family"
Project Wolf Hunting,2022,799379,6.384,"While under heavily armed guard, the dangerous convicts aboard a cargo ship unite in a coordinated escape attempt that soon escalates into a bloody, all-out riot. But as the fugitives continue their brutal campaign of terror, they soon discover that not even the most vicious among them is safe from the horror they unknowingly unleashed from the darkness below deck.",tt15575470,6.0,122.0,"Action, Crime, Horror"
Relic,2020,539181,6.087,"When elderly mother Edna inexplicably vanishes, her daughter rushes to the family's decaying home, finding clues of her increasing dementia scattered around the house in her absence.",tt9072352,6.0,89.0,"Drama, Horror, Mystery"
The Cleansing Hour,2020,608994,6.403,Two millennial entrepreneurs stage elaborate fake exorcisms on social media until one of their girlfriends becomes possessed by a demon.,tt8009906,6.0,94.0,"Drama, Fantasy, Horror"
The Lodge,2020,474764,6.109,"When a father is forced to abruptly depart for work, he leaves his children, Aidan and Mia, at their holiday home in the care of his new girlfriend, Grace. Isolated and alone, a blizzard traps them inside the lodge as terrifying events summon specters from Grace's dark past.",tt7347846,6.0,108.0,"Drama, Horror, Mystery"
Don't Breathe 2,2021,482373,7.045,"The Blind Man has been hiding out for several years in an isolated cabin and has taken in and raised a young girl orphaned from a devastating house fire. Their quiet life together is shattered when a group of criminals kidnap the girl, forcing the Blind Man to leave his safe haven to save her.",tt6246322,6.0,98.0,"Action, Crime, Horror"
Ghost Mansion,2021,842033,7.275,A horror webtoon writer journeys to a shabby apartment building in search of ideas. The building's caretaker tells him about multiple strange events that happened throughout the building's history.,tt14895216,6.0,106.0,"Horror, Mystery, Thriller"
Becky,2020,601844,6.3,A teenager's weekend at a lake house with her father takes a turn for the worse when a group of convicts wreaks havoc on their lives.,tt10314450,6.0,93.0,"Action, Crime, Drama"
Come True,2020,515454,5.951,"Looking for an escape from her recurring nightmares, 18-year-old Sarah submits to a university sleep study, but soon realizes she's become the conduit to a frightening new discovery.",tt7026488,6.0,105.0,"Horror, Sci-Fi"
Teddy,2020,712123,6.272,"In a rural French town, twenty-something Teddy is scratched by an unknown beast and slowly undergoes frightening changes.",tt10469804,6.0,88.0,"Comedy, Drama, Horror"
My Heart Can't Beat Unless You Tell It To,2020,690248,5.932,"Dwight and his sister Jessie reach a crossroads over what to do about their little brother Thomas, a sickly child with a mysterious affliction.",tt11084432,6.0,90.0,"Drama, Horror"
Unhinged,2020,625568,6.441,"Rachel is a divorced single mother whose bad day gets even worse. She's running late to drop her son off at school when she honks her horn impatiently at a fellow driver during rush-hour traffic. After an exchange of words, she soon realizes that the mysterious man is following her and her young son in his truck. A case of road rage quickly escalates, at horrifyingly psychotic proportions, into full-blown terror as Rachel discovers the psychopath's sinister plan for revenge. He is single-mindedly determined to teach her a deadly lesson.",tt10059518,6.0,90.0,"Action, Thriller"
May the Devil Take You Too,2020,632885,7.132,"Two years after escaping from demonic terror, a young woman is still haunted by unnatural vision. The dangers that await her and her friends are increasingly threatening.",tt10776270,6.0,110.0,"Fantasy, Horror, Mystery"
Gatlopp,2022,893338,6.0,"Four friends get together for a nostalgic evening of fun and games after a decade of absence, which takes a dark turn.",tt11615616,5.9,80.0,"Comedy, Drama, Horror"
Apartment 7A,2024,807339,6.174,"A struggling young dancer finds herself drawn in by dark forces when a peculiar, well-connected older couple promise her a shot at fame.",tt14371860,5.9,107.0,"Horror, Thriller"
Uncle Peckerhead,2020,667154,5.925,"When a punk band scores their first tour, life on the road proves tough when they are joined by a man-eating demon as a roadie.",tt11695654,5.9,97.0,"Comedy, Horror, Music"
La Abuela (The Grandmother),2022,661791,5.868,"Susana leaves her life in Paris, where she works as a model, and returns to Madrid to take care of her grandmother Pilar.",tt11807888,5.9,100.0,Horror
Resurrection,2022,872497,6.055,"A woman's carefully constructed life is upended when an unwelcome shadow from her past returns, forcing her to confront the monster she's evaded for two decades.",tt11540726,5.9,103.0,"Crime, Drama, Horror"
Antlers,2021,516329,6.228,"A small-town Oregon teacher and her brother, the local sheriff, discover a young student is harbouring a dangerous secret that could have frightening consequences.",tt7740510,5.9,99.0,"Drama, Horror, Mystery"
The Last Matinee,2020,739291,6.055,"In 1993, spectators at the last screening of a horror film at a downtown cinema fall one by one into the hands of a sadistic and ruthless killer.",tt13049760,5.9,88.0,"Horror, Thriller"
The Cursed: Dead Man's Prey,2021,724885,7.485,"Following a brutal murder case, the police are baffled to find out that the assailant, whose body was found on the scene with the victim, had already been dead for three months. Meanwhile, journalist Jin-hee sets up a live interview with an anonymous caller claiming he is the true killer behind the mysterious murder. When the man announces three more murders will occur in the hands of the undead, Jin-hee must face the sinister forces beyond understanding.",tt17640714,5.9,110.0,"Horror, Thriller"
Hellraiser,2022,338947,6.2,"A young woman struggling with addiction comes into possession of an ancient puzzle box, unaware that its purpose is to summon the Cenobites, a group of sadistic supernatural beings from another dimension.",tt0887261,5.9,121.0,"Horror, Mystery, Thriller"
Fear of Rain,2021,599281,6.932,"A teenage girl living with schizophrenia begins to suspect her neighbor has kidnapped a child. Her parents try desperately to help her live a normal life, without exposing their own tragic secrets, and the only person who believes her is Caleb – a boy she isn’t even sure exists.",tt10037014,5.9,109.0,"Drama, Horror, Mystery"
Till Death,2021,672741,6.726,"After a romantic evening at their secluded lake house, a woman wakes up handcuffed to her dead husband. Trapped and isolated in the dead of winter, she must fight off hired killers to escape her late spouse's twisted plan.",tt11804152,5.9,88.0,Thriller
Caveat,2021,744746,6.244,A lone drifter suffering from partial memory loss accepts a job to look after a psychologically troubled woman in an abandoned house on an isolated island.,tt7917178,5.9,88.0,"Horror, Mystery, Thriller"
Orphan: First Kill,2022,760161,6.629,"After escaping from an Estonian psychiatric facility, Leena Klammer travels to America by impersonating Esther, the missing daughter of a wealthy family. But when her mask starts to slip, she is put against a mother who will protect her family from the murderous “child” at any cost.",tt11851548,5.9,99.0,"Crime, Drama, Horror"
Cobweb,2023,709631,6.489,"Eight year old Peter is plagued by a mysterious, constant tapping from inside his bedroom wall—one that his parents insist is all in his imagination. As Peter's fear intensifies, he believes that his parents could be hiding a terrible, dangerous secret and questions their trustworthiness.",tt9100018,5.9,88.0,"Horror, Mystery, Thriller"
The Boogeyman,2023,532408,6.403,"Still reeling from the tragic death of their mother, a teenage girl and her younger sister find themselves plagued by a sadistic presence in their house and struggle to get their grieving father to pay attention before it’s too late.",tt3427252,5.9,98.0,"Horror, Mystery, Thriller"
V/H/S/Beyond,2024,1190868,6.7,"The infinite playground of forbidden worlds and dangerous lifeforms offered by the sci-fi horror genre will lead to the biggest, maddest, bloodiest V/H/S ever.",tt32880932,5.9,114.0,"Horror, Sci-Fi, Thriller"
Spree,2020,653598,6.4,"Desperate for an online following, a rideshare driver has figured out a deadly plan to go viral and he will stop at nothing to get his five minutes of fame.",tt11394332,5.9,93.0,"Comedy, Crime, Horror"
Underwater,2020,443791,6.291,"After an earthquake destroys their underwater station, six researchers must navigate two miles along the dangerous, unknown depths of the ocean floor to make it to safety in a race against time.",tt5774060,5.9,95.0,"Action, Horror, Sci-Fi"
Candyman,2021,565028,6.0,"A Chicago artist's sanity starts to unravel, unleashing a terrifying wave of violence when he begins to explore the macabre history of the Candyman.",tt9347730,5.9,91.0,"Horror, Thriller"
Shut In,2022,629015,6.798,A young single mother is held captive along with her two children by a violent ex and must plot their escape before it’s too late.,tt10131024,5.8,89.0,Thriller
You'll Never Find Me,2023,1117321,6.101,"Patrick, a strange and lonely resident, lives in a mobile home at the back of an isolated caravan park. After a violent thunderstorm erupts, a mysterious young woman appears at his door, seeking shelter from the weather. The longer the night wears on and the more the young woman discovers about Patrick, the more difficult she finds it to leave. Soon she begins to question Patrick’s intentions, while Patrick begins to question his own grip on reality...",tt22023218,5.8,100.0,"Horror, Thriller"
Come Play,2020,571384,6.4,"A lonely young boy feels different from everyone else. Desperate for a friend, he seeks solace and refuge in his ever-present cell phone and tablet. When a mysterious creature uses the boy’s devices against him to break into our world, his parents must fight to save their son from the monster beyond the screen.",tt8004664,5.8,96.0,"Drama, Horror, Mystery"
The Babysitter: Killer Queen,2020,623491,6.4,"Two years after defeating a satanic cult led by his babysitter Bee, Cole's trying to forget his past and focus on surviving high school. But when old enemies unexpectedly return, Cole will once again have to outsmart the forces of evil.",tt11024272,5.8,101.0,"Comedy, Horror"
Hellhole,2022,1032950,6.144,"In a monastery cut off from the world, the monks run a clinic for the possessed. One day, a young policeman Marek comes to the convent. Posing as a clergyman, he penetrates monastic life and tries to explain the recent, mysterious disappearance of several tormented inmates. It turns out, however, that there is no way out of the monastery.",tt19724142,5.8,91.0,"Horror, Mystery"
Nocebo,2022,782936,6.1,A fashion designer suffers from a mysterious illness that puzzles her doctors and frustrates her husband until help arrives in the form of a Filipino carer who uses traditional folk healing to reveal a horrifying truth.,tt11212572,5.8,96.0,"Horror, Thriller"
Monolith,2023,1024721,6.1,"A desperate young journalist turns to podcasting to salvage her career, but her rush to make headlines leads her to an alien conspiracy.",tt18298588,5.8,94.0,"Drama, Mystery, Sci-Fi"
Valley of the Dead,2020,613093,6.2,"During the Spanish Civil War, sworn enemies must work together when they encounter flesh-eating zombies created in a Nazi experiment.",tt10127708,5.8,101.0,"Action, Comedy, Horror"
Las Leyendas: El Origen,2021,667276,8.251,"When a human baby crosses the Eternal Mirror, the portal between the living and the death opens its path to the beings from the underworld.",tt10431332,5.8,85.0,"Animation, Adventure, Comedy"
Unseen,2023,1067714,6.664,"Sam receives a call from Emily, a near blind woman who is running from her murderous ex in the woods. Can she survive using Sam as her eyes via video call?",tt17201166,5.8,76.0,"Horror, Thriller"
Crimes of the Future,2022,819876,6.052,"With his partner, a celebrity performance artist publicly showcases the metamorphosis of his organs in avant-garde performances. An investigator from the National Organ Registry obsessively tracks their movements, which is when a mysterious group is revealed... Their mission — to use the artist's notoriety to shed light on the next phase of human evolution.",tt14549466,5.8,107.0,"Drama, Horror, Sci-Fi"
I Saw the TV Glow,2024,858017,6.1,"Teenager Owen is just trying to make it through life in the suburbs when his classmate Maddy introduces him to a mysterious TV show — a vision of a supernatural world beneath their own. In the pale glow of the television, Owen’s view of reality begins to crack.",tt15574270,5.8,100.0,"Drama, Horror"
Don't Move,2024,1063877,6.354,"A grieving woman in a secluded forest encounters a killer who injects her with a paralytic drug. As her body shuts down, her fight for survival begins.",tt24807110,5.8,92.0,"Horror, Thriller"
See for Me,2022,825808,6.0,"When blind former Olympic skier Sophie Scott cat-sits in a secluded mansion, she gets caught in the crossfire of a home invasion scheme. She must rely on a sighted Army veteran via the See for Me app to help her survive the night.",tt11209212,5.8,92.0,"Crime, Drama, Horror"
Nightwatch: Demons Are Forever,2023,1029880,6.208,"Martin's daughter, Emma, takes up a night watch job to find out what happened to her parents almost thirty years ago. A meeting with Wörmer in his cell pulls the serial killer out of his coma and sets in motion a chain of fateful events.",tt6318608,5.8,118.0,"Horror, Mystery, Thriller"
Trap,2024,1032823,6.321,"A father and teen daughter attend a pop concert, where they realize they're at the center of a dark and sinister event.",tt26753003,5.8,105.0,"Crime, Horror, Mystery"
Antebellum,2020,627290,6.238,Successful author Veronica finds herself trapped in a horrifying reality and must uncover the mind-bending mystery before it's too late.,tt10065694,5.8,105.0,"Drama, Horror, Mystery"
Death Whisperer,2023,1134433,7.48,"When a remote village is plagued by a deadly curse, one brother must fight to save his family from a terrifying supernatural threat.",tt29609422,5.8,120.0,"Horror, Thriller"
Immaculate,2024,1041613,6.233,"An American nun embarks on a new journey when she joins a remote convent in the Italian countryside. However, her warm welcome quickly turns into a living nightmare when she discovers her new home harbours a sinister secret and unspeakable horrors.",tt23137390,5.8,89.0,"Horror, Thriller"
Nightbooks,2021,739990,6.119,"Alex, a boy obsessed with scary stories, is trapped by a witch in her modern, magical New York City apartment. His original hair-raising tales are the only thing keeping him safe as he desperately tries to find a way out of this twisted place.",tt10521144,5.8,103.0,"Family, Fantasy, Horror"
Old,2021,631843,6.331,A group of families on a tropical holiday discover that the secluded beach where they are staying is somehow causing them to age rapidly – reducing their entire lives into a single day.,tt10954652,5.8,108.0,"Drama, Horror, Mystery"
Silent Night,2021,664574,5.944,"Nell, Simon, and their boy Art are ready to welcome friends and family for what promises to be a perfect Christmas gathering. Perfect except for one thing: everyone is going to die.",tt11628854,5.8,92.0,"Comedy, Drama, Horror"
Army of the Dead,2021,503736,6.228,"Following a zombie outbreak in Las Vegas, a group of mercenaries take the ultimate gamble: venturing into the quarantine zone to pull off the greatest heist ever attempted.",tt0993840,5.8,148.0,"Action, Crime, Drama"
Bhool Bhulaiyaa 2,2022,695962,6.368,"When strangers Reet and Ruhan cross paths, their journey leads to an abandoned mansion and a dreaded spirit who has been trapped for eighteen years.",tt6455162,5.7,143.0,"Comedy, Horror"
Slash/Back,2022,934194,6.418,"In a remote Arctic community, a group of Inuit girls fight off an alien invasion, all while trying to make it to the coolest party in town.",tt9050310,5.7,86.0,"Adventure, Horror, Sci-Fi"
