Title,Year,TMDb ID,TMDb Rating,Overview,IMDb ID,IMDb Rating,Runtime (min),Genre
Caddo Lake,2024,863873,7.275,"When an 8-year-old girl mysteriously vanishes on Caddo Lake, a series of past deaths and disappearances begin to link together, forever altering a broken family’s history.",tt15552142,6.8,103.0,"Drama, Mystery, Sci-Fi"
Nope,2022,762504,6.845,"Residents in a lonely gulch of inland California bear witness to an uncanny, chilling discovery.",tt10954984,6.8,130.0,"Horror, Mystery, Sci-Fi"
Mad God,2021,846867,6.851,"A figure known as ""The Assassin"" descends from the heavens into a nightmarish pit full of monsters, titans, and cruelty.",tt15090124,6.8,83.0,"Animation, Fantasy, Horror"
Speak No Evil,2024,1114513,7.253,"When an American family is invited to spend the weekend at the idyllic country estate of a charming British family they befriended on vacation, what begins as a dream holiday soon warps into a snarled psychological nightmare.",tt27534307,6.8,110.0,"Drama, Horror, Thriller"
The House,2022,926899,7.027,"Across different eras, a poor family, an anxious developer and a fed-up landlady become tied to the same mysterious house in this animated dark comedy.",tt11703050,6.8,97.0,"Animation, Comedy, Drama"
Fear Street: 1978,2021,591274,7.2,"In 1978, two rival groups at Camp Nightwing must band together to solve a terrifying mystery when horrors from their towns' history come alive.",tt9701940,6.7,109.0,"Drama, Horror, Mystery"
Oddity,2024,1216191,6.7,"After the brutal murder of her twin sister, Darcy goes after those responsible by using haunted items as her tools for revenge.",tt26470109,6.7,98.0,"Horror, Thriller"
Saint Maud,2020,575776,6.6,"Having recently found God, self-effacing young nurse Maud arrives at a plush home to care for Amanda, a hedonistic dancer left frail from a chronic illness. When a chance encounter with a former colleague throws up hints of a dark past, it becomes clear there is more to sweet Maud than meets the eye.",tt7557108,6.7,84.0,"Drama, Horror, Mystery"
Run,2020,546121,7.247,"Chloe, a teenager who is confined to a wheelchair, is homeschooled by her mother, Diane. Chloe soon becomes suspicious of her mother and begins to suspect that she may be harboring a dark secret.",tt8633478,6.7,90.0,"Drama, Horror, Mystery"
Smile 2,2024,1100782,6.593,"About to embark on a new world tour, global pop sensation Skye Riley begins experiencing increasingly terrifying and inexplicable events. Overwhelmed by the escalating horrors and the pressures of fame, Skye is forced to face her dark past to regain control of her life before it spirals out of control.",tt29268110,6.7,127.0,"Horror, Mystery, Thriller"
Fresh,2022,787752,7.0,"Frustrated by scrolling dating apps only to end up on lame, tedious dates, Noa takes a chance by giving her number to the awkwardly charming Steve after a produce-section meet-cute at the grocery store.",tt13403046,6.7,114.0,"Horror, Thriller"
The Coffee Table,2023,1056380,6.987,"Jesus and María are a couple going through a difficult time in their relationship. Nevertheless, they have just become parents. To shape their new life, they decide to buy a new coffee table. A decision that will change their existence.",tt21874760,6.7,89.0,"Comedy, Drama, Horror"
Satan's Slaves 2: Communion,2022,925786,6.9,"After moving from their home to an apartment building, a new terror awaits Rini’s family.",tt16915972,6.7,119.0,"Drama, Horror, Mystery"
Saw X,2023,951491,7.212,"Between the events of 'Saw' and 'Saw II', a sick and desperate John Kramer travels to Mexico for a risky and experimental medical procedure in hopes of a miracle cure for his cancer, only to discover the entire operation is a scam to defraud the most vulnerable. Armed with a newfound purpose, the infamous serial killer returns to his work, turning the tables on the con artists in his signature visceral way through devious, deranged, and ingenious traps.",tt21807222,6.6,118.0,"Horror, Mystery, Thriller"
Beetlejuice Beetlejuice,2024,917496,7.0,"After a family tragedy, three generations of the Deetz family return home to Winter River. Still haunted by Betelgeuse, Lydia's life is turned upside down when her teenage daughter, Astrid, accidentally opens the portal to the Afterlife.",tt2049403,6.6,105.0,"Comedy, Fantasy, Horror"
Home for Rent,2023,977177,6.868,"When her good tenants go bad, a landlord finds herself terrorized by a cult that seemingly has her husband enthralled — and her daughter in its sights.",tt26547790,6.6,124.0,"Horror, Mystery, Thriller"
Some Like It Rare,2021,730769,6.426,"Sophie and Vincent’s small butcher shop is on the brink of bankruptcy and their marriage is falling apart. Their lives are turned upside down when Vincent accidentally kills a vegan activist who vandalized their shop. Overwhelmed and terrified of being accused of murder, their only solution is to get rid of the body by turning it into ham. To their surprise the ham is so popular that it may save their business… that is if they’re ready to keep “hunting""!",tt12887770,6.6,87.0,"Comedy, Horror"
All the Moons,2020,776670,7.4,"During the final throes of the last Carlist war, a little girl is rescued from an orphanage by a mysterious woman who lives deep inside the forest.",tt11892482,6.6,102.0,"Drama, Fantasy, Horror"
Longlegs,2024,1226578,6.6,"FBI Agent Lee Harker is a gifted new recruit assigned to the unsolved case of an elusive serial killer. As the case takes complex turns, unearthing evidence of the occult, Harker discovers a personal connection to the merciless killer and must race against time to stop him before he claims the lives of another innocent family.",tt23468450,6.6,101.0,"Crime, Horror, Thriller"
The Devil's Bath,2024,931944,6.6,"In 1750 Austria, a deeply religious woman named Agnes has just married her beloved, but her mind and heart soon grow heavy as her life becomes a long list of chores and expectations. Day after day, she is increasingly trapped in a murky and lonely path leading to evil thoughts, until the possibility of committing a shocking act of violence seems like the only way out of her inner prison.",tt29141112,6.6,121.0,"Drama, History, Horror"
The Pale Blue Eye,2022,800815,6.838,"West Point, New York, 1830. When a cadet at the burgeoning military academy is found hanged with his heart cut out, the top brass summons former New York City constable Augustus Landor to investigate. While attempting to solve this grisly mystery, the reluctant detective engages the help of one of the cadets: a strange but brilliant young fellow by the name of Edgar Allan Poe.",tt14138650,6.6,128.0,"Crime, Horror, Mystery"
Sleep,2023,964592,6.717,"Hyun-su and Soo-jin have just gotten married. Seemingly out of nowhere, he starts talking in his sleep. 'Someone’s inside.' From that night forward, whenever he falls asleep, he transforms into someone else with no recollection of the night before. Soo-jin is overwhelmed with anxiety that he’d hurt her family while she sleeps and can barely sleep a wink because of this irrational fear. Despite sleep treatment, Hyun-su’s sleepwalking only intensifies, and she begins to feel that her unborn child may be in danger...",tt8209702,6.6,95.0,"Horror, Mystery, Thriller"
The Hunt,2020,514847,6.629,"Twelve strangers wake up in a clearing. They don't know where they are—or how they got there. In the shadow of a dark internet conspiracy theory, ruthless elitists gather at a remote location to hunt humans for sport. But their master plan is about to be derailed when one of the hunted turns the tables on her pursuers.",tt8244784,6.6,90.0,"Action, Horror, Thriller"
Fear Street: 1666,2021,591275,7.1,"In 1666, a colonial town is gripped by a hysterical witch-hunt that has deadly consequences for centuries to come, and it's up to teenagers in 1994 to finally put an end to their town's curse, before it's too late.",tt9701942,6.6,114.0,"Horror, Mystery"
Speak No Evil,2022,833339,6.645,A Danish family visits a Dutch family they met on a holiday. What was supposed to be an idyllic weekend slowly starts unraveling as the Danes try to stay polite in the face of unpleasantness.,tt14253846,6.6,97.0,"Drama, Horror, Mystery"
Bloody Hell,2020,696822,6.473,"A man with a mysterious past flees the country to escape his own personal hell... only to arrive somewhere much worse. In an effort to survive this new horror, he turns to his personified conscience.",tt9772374,6.6,93.0,"Comedy, Horror, Mystery"
Bulbbul,2020,714338,6.536,"A child bride grows up to be an enigmatic woman presiding over her household, harboring a painful past as supernatural murders of men plague her village.",tt12393526,6.6,94.0,"Drama, Horror, Mystery"
Spontaneous,2020,604578,6.8,"When students in their high school begin inexplicably exploding (literally), seniors Mara and Dylan struggle to survive in a world where each moment may be their last.",tt5774062,6.5,101.0,"Comedy, Drama, Horror"
Shaitaan,2024,1187619,6.254,"Kabir and his family's fun weekend retreat takes terrifying turn when an intruder takes over the control of the  body of his teenage daughter, putting her at the mercy of his increasingly sinister orders.",tt27744786,6.5,132.0,"Drama, Horror, Thriller"
Oxygen,2021,471498,6.623,"A woman wakes in a cryogenic chamber with no recollection of how she got there, and must find a way out before running out of air.",tt6341832,6.5,100.0,"Drama, Fantasy, Sci-Fi"
Smile,2022,882598,6.662,"After witnessing a bizarre, traumatic incident involving a patient, Dr. Rose Cotter starts experiencing frightening occurrences that she can't explain.",tt15474916,6.5,115.0,"Horror, Mystery, Thriller"
The Sadness,2021,776797,6.792,"A young couple is pushed to the limits of sanity as they attempt to be reunited amid the chaos of a pandemic outbreak. The streets erupt into violence and depravity, as those infected are driven to enact the most cruel and ghastly things imaginable.",tt13872248,6.5,99.0,Horror
Titane,2021,630240,6.3,"A woman with a metal plate in her head from a childhood car accident embarks on a bizarre journey, bringing her into contact with a firefighter who's reunited with his missing son after 10 years.",tt10944760,6.5,108.0,"Drama, Horror, Sci-Fi"
Evil Dead Rise,2023,713704,6.931,"A reunion between two estranged sisters gets cut short by the rise of flesh-possessing demons, thrusting them into a primal battle for survival as they face the most nightmarish version of family imaginable.",tt13345606,6.5,96.0,Horror
Totally Killer,2023,974931,6.8,"When the infamous ""Sweet Sixteen Killer"" returns 35 years after his first murder spree to claim another victim, 17-year-old Jamie accidentally travels back in time to 1987, determined to stop the killer before he can start.",tt11426232,6.5,106.0,"Comedy, Horror, Sci-Fi"
Bull,2021,821792,6.413,"Ten years after he was last seen, a vicious mob enforcer returns home to find his son and methodically track down the gang that double-crossed him. His quest for revenge soon leads to a savage showdown between his wife and her mob boss father.",tt13266998,6.5,88.0,"Crime, Thriller"
X,2022,760104,6.74,"In 1979, a group of young filmmakers set out to make an adult film in rural Texas, but when their reclusive, elderly hosts catch them in the act, the cast find themselves fighting for their lives.",tt13560574,6.5,105.0,"Horror, Mystery, Thriller"
The First Omen,2024,437342,6.868,"When a young American woman is sent to Rome to begin a life of service to the church, she encounters a darkness that causes her to question her own faith and uncovers a terrifying conspiracy that hopes to bring about the birth of evil incarnate.",tt5672290,6.5,119.0,Horror
Vicious Fun,2021,728054,6.54,"Joel, a caustic 1980s film critic for a national horror magazine, finds himself unwittingly trapped in a self-help group for serial killers. With no other choice, Joel attempts to blend in with his homicidal surroundings or risk becoming the next victim.",tt11778118,6.5,101.0,"Comedy, Horror"
Swallow,2020,586461,6.615,"Hunter, a newly pregnant housewife, finds herself increasingly compelled to consume dangerous objects. As her husband and his family tighten their control over her life, she must confront the dark secret behind her new obsession.",tt8372298,6.5,94.0,"Drama, Thriller"
I'm Thinking of Ending Things,2020,500840,6.582,Nothing is as it seems when a woman experiencing misgivings about her new boyfriend joins him on a road trip to meet his parents at their remote farm.,tt7939766,6.5,134.0,"Drama, Thriller"
Host,2020,723072,6.481,"Six friends hire a medium to hold a séance via Zoom during lockdown — but they get far more than they bargained for as things quickly go wrong. When an evil spirit starts invading their homes, they begin to realise they might not survive the night.",tt12749596,6.5,57.0,"Horror, Mystery"
The Medium,2021,745881,7.0,"A shaman's family learn that their goddess is supposedly controlling one of them. However, their lives take a frightening turn when they realise the goddess has nothing to do with the possession.",tt13446168,6.5,130.0,"Drama, Horror, Mystery"
Abigail,2024,1111873,6.759,"A group of criminals kidnap a teenage ballet dancer, the daughter of a notorious gang leader, in order to obtain a ransom of $50 million, but over time, they discover that she is not just an ordinary girl. After the kidnappers begin to diminish, one by one, they discover, to their increasing horror, that they are locked inside with no normal little girl.",tt27489557,6.5,109.0,"Horror, Thriller"
Possessor,2020,435615,6.4,"Tasya Vos, an elite corporate assassin, uses brain-implant technology to take control of other people’s bodies to terminate high profile targets. As she sinks deeper into her latest assignment, Vos becomes trapped inside a mind that threatens to obliterate her.",tt5918982,6.5,103.0,"Horror, Mystery, Sci-Fi"
Scream VI,2023,934433,6.994,"Following the latest Ghostface killings, the four survivors leave Woodsboro behind and start a fresh chapter.",tt17663992,6.4,122.0,"Horror, Mystery, Thriller"
Final Cut,2022,852438,6.778,Things go badly for a small film crew shooting a low-budget zombie movie when they are attacked by real zombies.,tt14317880,6.4,112.0,"Comedy, Horror"
You Won't Be Alone,2022,883083,6.652,"In an isolated mountain village in 19th century Macedonia, a young feral witch accidentally kills a peasant. She assumes the peasant's shape to see what life is like in her skin, igniting a deep seated curiosity to experience life inside the bodies of others.",tt8296030,6.4,108.0,"Drama, Fantasy, Horror"
Deadstream,2022,886083,6.212,"A disgraced internet personality attempts to win back his followers by livestreaming one night alone in a haunted house. But when he accidentally pisses off a vengeful spirit, his big comeback event becomes a real-time fight for his life.",tt12788488,6.4,87.0,"Comedy, Horror"
The Night House,2021,547565,6.59,"Reeling from the unexpected death of her husband, Beth is left alone in the lakeside home he built for her. Soon she begins to uncover her recently deceased husband's disturbing secrets.",tt9731534,6.4,107.0,"Horror, Mystery, Thriller"
Bloody Oranges,2021,833404,6.032,"Simultaneously, a retired couple overwhelmed by debt tries to win a dance contest, as the minister of economy is suspected of tax evasion, and a teenage girl encounters a sexual maniac, while a young lawyer attempts to climb the social ladder. When the shoe drops, the winner won’t necessarily be the one we expected.",tt13274576,6.4,105.0,"Comedy, Crime, Drama"
Smoking Causes Coughing,2022,872709,6.1,"After a devastating battle against a diabolical turtle, a team of five avengers — known as the ""Tobacco Force"" — is sent on a mandatory retreat to strengthen their decaying group cohesion. Their sojourn goes wonderfully well until Lézardin, Emperor of Evil, decides to annihilate planet Earth.",tt15471560,6.4,77.0,"Comedy, Horror, Sci-Fi"
Nefarious,2023,913673,6.8,"On the day of his scheduled execution, a convicted serial killer gets a psychiatric evaluation during which he claims he is a demon, and further claims that before their time is over, the psychiatrist will commit three murders of his own.",tt14537248,6.4,97.0,"Horror, Thriller"
Wendell & Wild,2022,511817,6.676,Two demon brothers enlist the aid of Kat Elliot — a tough teen with a load of guilt — to summon them to the Land of the Living. But what Kat demands in return leads to a brilliantly bizarre and comedic adventure like no other.,tt5181830,6.4,105.0,"Animation, Adventure, Comedy"
History of the Occult,2020,649294,6.844,"During the last broadcast of 60 Minutes Before Midnight, the most watched journalistic program on television, Adrián Marcato could expose a conspiracy and link the government to a obscure secret society.",tt11310884,6.4,82.0,Horror
The Spine of Night,2021,795522,5.97,"In this ultra-violent, fantasy epic, ancient dark magic falls into sinister hands and unleashes ages of suffering onto mankind. A group of heroes from different eras and cultures must band together in order to defeat it at all costs.",tt3885422,6.4,93.0,"Animation, Action, Adventure"
The Mortuary Collection,2020,524216,6.724,"In the phantasmagorical town of Raven's End, a misguided young girl takes refuge in a decrepit old mortuary. The eccentric undertaker chronicles the strange history of the town through a series of twisted tales, each more terrifying than the last, but the young girl's world is unhinged when she discovers that the final story... is her own.",tt7781432,6.4,108.0,"Fantasy, Horror"
His House,2020,575774,6.416,"After making a harrowing escape from war-torn South Sudan, a young refugee couple struggle to adjust to their new life in a small English town that has an unspeakable evil lurking beneath the surface.",tt8508734,6.4,93.0,"Drama, Horror, Thriller"
Hunter Hunter,2020,759902,6.32,"A fur trapper leaves his wife and daughter behind to kill a rogue wolf in the remote wilderness, but they soon become increasingly worried when their peaceful existence is disrupted.",tt2226162,6.4,93.0,"Drama, Horror, Mystery"
The Passenger,2023,957314,6.1,"Randolph Bradley is perfectly content fading into the background, but when his coworker Benson snaps and goes on a violent killing spree, he’s forced to face his fears and confront his troubled past in order to find a way to survive.",tt21979910,6.4,94.0,"Drama, Thriller"
El Conde,2023,991708,6.201,"After living for over two centuries, Augusto Pinochet is a vampire ready to die… but the vultures around him won't let him go without one last bite.",tt21113540,6.4,110.0,"Comedy, Fantasy, History"
MadS,2024,1262983,6.76,"A teenager stops off to see his dealer to test a new drug before heading off for a night of partying. On the way home, he picks up an injured woman and the night takes a surreal turn.",tt28821371,6.4,89.0,"Horror, Thriller"
Renfield,2023,649609,6.49,"Having grown sick and tired of his centuries as Dracula's lackey, Renfield finds a new lease on life — and maybe even redemption — when he falls for feisty, perennially angry traffic cop Rebecca Quincy.",tt11358390,6.4,93.0,"Action, Comedy, Fantasy"
Your Monster,2024,1098378,6.6,"After her life falls apart, soft-spoken actress Laura Franco finds her voice again when she meets a terrifying, yet weirdly charming, monster living in her closet.",tt22741760,6.4,103.0,"Comedy, Horror, Romance"
Sputnik,2020,594718,6.5,"At the height of the Cold War, a Soviet spacecraft crash lands after a mission gone awry, leaving the commander as its only survivor. After a renowned Russian psychologist is brought in to evaluate the commander’s mental state, it becomes clear that something dangerous may have come back to Earth with him…",tt11905962,6.4,113.0,"Drama, Horror, Mystery"
Don't Worry Darling,2022,619730,6.799,"Alice and Jack are lucky to be living in the idealized community of Victory, the experimental company town housing the men who work for the top-secret Victory Project and their families. But when cracks in their idyllic life begin to appear, exposing flashes of something much more sinister lurking beneath the attractive façade, Alice can’t help questioning exactly what they’re doing in Victory, and why.",tt10731256,6.3,123.0,"Drama, Mystery, Thriller"
Rent-A-Pal,2020,707408,6.463,"Set in 1990, a lonely bachelor named David searches for an escape from the day-to-day drudgery of caring for his aging mother.  While seeking a partner through a video dating service, he discovers a strange VHS tape called Rent-A-Pal. Hosted by the charming and charismatic Andy, the tape offers him much-needed company, compassion, and friendship. But Andy's friendship comes at a cost, and David desperately struggles to afford the price of admission.",tt12274228,6.3,108.0,"Horror, Thriller"
Pedro Páramo,2024,1069387,6.838,"A man searches for his father, Pedro Páramo, in a town doomed by violence and the fury of a frustrated love.",tt27717667,6.3,130.0,"Drama, Fantasy, Horror"
Watcher,2022,807356,6.481,"As a serial killer stalks the city, Julia — a young actress who just moved to town with her husband — notices a mysterious stranger watching her from across the street.",tt12004038,6.3,96.0,"Drama, Horror, Thriller"
The Amusement Park,2021,560981,6.2,An elderly gentleman sets out for what he thinks will be a normal day at an amusement park and is soon embroiled in a waking nightmare.,tt9270362,6.3,53.0,"Drama, Horror, Thriller"
A Quiet Place: Day One,2024,762441,6.729,"As New York City is invaded by alien creatures who hunt by sound, a woman named Sam fights to survive with her cat.",tt13433802,6.3,99.0,"Drama, Horror, Sci-Fi"
Lamb,2021,788929,6.4,"An Icelandic couple live with their herd of sheep on a beautiful but remote farm. When they discover a mysterious newborn on their land, they decide to keep it and raise it as their own. This unexpected development and the prospects of a new family brings them much joy before ultimately destroying them.",tt9812474,6.3,106.0,"Drama, Fantasy, Horror"
Freaky,2020,551804,6.563,"A mystical, ancient dagger causes a notorious serial killer to magically switch bodies with a 17-year-old girl.",tt10919380,6.3,102.0,"Comedy, Horror, Thriller"
The Conjuring: The Devil Made Me Do It,2021,423108,7.408,"Paranormal investigators Ed and Lorraine Warren encounter what would become one of the most sensational cases from their files. The fight for the soul of a young boy takes them beyond anything they'd ever seen before, to mark the first time in U.S. history that a murder suspect would claim demonic possession as a defense.",tt7069210,6.3,112.0,"Horror, Mystery, Thriller"
The Balconettes,2024,1112466,6.49,"As a heat wave brings a Marseille neighbourhood to the boil, three roommates gleefully meddle in the lives of their neighbours from their balcony. Until a late night drink turns into a bloody affair.",tt27721737,6.3,104.0,"Comedy, Fantasy, Horror"
No One Will Save You,2023,820609,6.696,A lonely woman battles extraterrestrials who threaten her future while forcing her to face her past.,tt14509110,6.3,93.0,"Horror, Mystery, Sci-Fi"
All My Friends Hate Me,2022,821489,5.971,"A college reunion goes awry when Pete suspects his friends may be out to get him... As their weekend getaway grows more and more uncomfortable, should Pete be worried about his safety, or is it all in his head?",tt9340892,6.3,93.0,"Comedy, Horror"
Terrifier 3,2024,1034541,6.847,"Five years after surviving Art the Clown's Halloween massacre, Sienna and Jonathan are still struggling to rebuild their shattered lives. As the holiday season approaches, they try to embrace the Christmas spirit and leave the horrors of the past behind. But just when they think they're safe, Art returns, determined to turn their holiday cheer into a new nightmare. The festive season quickly unravels as Art unleashes his twisted brand of terror, proving that no holiday is safe.",tt27911000,6.3,125.0,Horror
M3GAN,2022,536554,7.0,"A brilliant toy company roboticist uses artificial intelligence to develop M3GAN, a life-like doll programmed to emotionally bond with her newly orphaned niece. But when the doll's programming works too well, she becomes overprotective of her new friend with terrifying results.",tt8760708,6.3,102.0,"Horror, Sci-Fi, Thriller"
#Alive,2020,614696,7.236,"As a grisly virus rampages a city, a lone man stays locked inside his apartment, digitally cut off from seeking help and desperate to find a way out.",tt10620868,6.3,98.0,"Action, Drama, Horror"
Scream,2022,646385,6.669,"Twenty-five years after a streak of brutal murders shocked the quiet town of Woodsboro, a new killer has donned the Ghostface mask and begins targeting a group of teenagers to resurrect secrets from the town’s deadly past.",tt11245972,6.3,114.0,"Horror, Mystery, Thriller"
Anything for Jackson,2020,734353,6.753,"A bereaved Satanist couple kidnap a pregnant woman so they can use an ancient spellbook to put their dead grandson's spirit into her unborn child, but they end up summoning more than they bargained for.",tt12137964,6.3,97.0,"Horror, Mystery"
